EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,Attrition
EMP0057,57,Male,Finance,Accountant,12,70169.37,4,4,No,35,1,5,1,No
EMP0058,35,Female,Sales,Sales Representative,5,95431.67,4,3,No,49,2,3,4,No
EMP0059,52,Female,IT,Data Analyst,5,163150.43,4,4,No,16,5,1,4,No
EMP0060,36,Male,Sales,Sales Representative,11,118863.16,2,3,No,40,9,5,3,Yes
EMP0061,29,Female,IT,Data Analyst,7,107019.32,4,3,Yes,50,3,3,1,Yes
EMP0062,35,Female,HR,Recruiter,18,89608.61,3,2,Yes,47,1,0,2,No
EMP0063,44,Male,Sales,Sales Executive,4,84871.37,1,4,No,39,6,0,3,No
EMP0064,42,Female,Sales,Sales Representative,17,112358.86,1,2,No,27,3,1,4,No
EMP0065,37,Female,IT,Software Engineer,4,44072.59,3,3,Yes,41,7,3,1,No
EMP0066,39,Female,Operations,Operations Manager,9,337949.54,2,3,No,38,7,0,4,No
EMP0067,45,Male,Operations,Logistics Officer,0,81144.18,3,3,No,50,6,6,4,No
EMP0068,47,Female,Sales,Sales Executive,9,54719.93,1,1,No,50,9,5,1,No
EMP0069,46,Male,Finance,Financial Analyst,4,136932.19,3,1,No,25,8,4,3,No
EMP0070,50,Male,IT,Software Engineer,11,60039.89,2,1,No,26,3,3,1,Yes
EMP0071,36,Male,IT,IT Support,6,82138.21,1,2,No,56,6,1,3,Yes
EMP0072,22,Male,Finance,Accountant,8,110010.05,2,3,No,14,9,3,4,Yes
EMP0073,46,Female,Operations,Operations Executive,20,81237.45,3,4,Yes,14,9,2,1,No
EMP0074,28,Female,Operations,Operations Executive,11,86855.02,4,2,Yes,14,0,2,2,Yes
EMP0075,30,Female,HR,HR Executive,0,76687.31,3,2,Yes,25,3,0,3,Yes
EMP0076,45,Male,IT,Data Analyst,10,86139.86,2,2,No,36,1,2,2,No
EMP0077,22,Male,Finance,Accountant,20,50957.27,3,4,Yes,4,8,1,3,Yes
EMP0078,29,Male,Sales,Sales Manager,14,273000.43,4,3,Yes,47,4,0,1,Yes
EMP0079,45,Female,HR,HR Executive,1,57921.18,2,1,No,15,2,1,2,Yes
EMP0080,32,Male,IT,IT Support,19,46358.72,3,3,Yes,32,3,5,1,Yes
EMP0081,38,Female,HR,Recruiter,6,75371.96,2,3,Yes,18,5,1,3,No
EMP0082,29,Female,Sales,Sales Manager,20,230702.45,2,2,Yes,14,9,2,3,No
EMP0083,56,Male,Sales,Sales Representative,11,53229.69,1,2,No,58,0,5,3,No
EMP0084,56,Female,Operations,Logistics Officer,17,71758.69,1,2,Yes,1,6,2,3,Yes
EMP0085,54,Male,Sales,Sales Representative,2,41995.58,2,1,No,42,7,1,4,Yes
EMP0086,26,Female,IT,Software Engineer,6,113497.12,3,1,No,20,6,2,3,No
EMP0087,49,Female,Sales,Sales Representative,10,108093.19,3,1,No,10,6,2,2,Yes
EMP0088,28,Male,Sales,Sales Representative,17,93685.85,3,3,No,10,8,2,3,Yes
EMP0089,30,Male,Sales,Sales Executive,11,39559.24,4,2,No,59,3,3,1,No
EMP0090,29,Female,Sales,Sales Representative,5,99828.95,2,4,Yes,24,6,5,4,Yes
EMP0091,33,Female,Operations,Logistics Officer,4,102716.16,2,3,Yes,34,8,5,2,Yes
EMP0092,55,Male,Sales,Sales Executive,0,99098.82,4,1,Yes,28,4,6,4,No
EMP0093,54,Female,Operations,Operations Manager,11,178491.47,2,4,Yes,27,1,5,4,No
EMP0094,44,Female,HR,HR Executive,10,87951.72,2,4,Yes,40,4,6,4,Yes
EMP0095,45,Female,IT,System Admin,3,105089.23,4,2,Yes,1,3,1,1,Yes
EMP0096,58,Male,HR,HR Executive,17,81961.81,1,4,No,33,7,6,4,Yes
EMP0097,56,Female,IT,IT Support,3,88176.66,2,1,No,4,4,6,4,No
EMP0098,43,Female,Finance,Finance Manager,16,264590.87,4,2,No,7,8,4,3,No
EMP0099,48,Male,Sales,Sales Manager,1,282176.83,3,4,No,9,8,1,1,No
EMP0100,56,Male,IT,Software Engineer,1,33093.92,1,2,Yes,16,2,5,2,Yes
EMP0101,22,Female,Operations,Operations Manager,11,309740.76,3,4,Yes,5,9,0,2,No
EMP0102,56,Male,Operations,Operations Manager,5,170361.8,2,3,No,34,5,2,2,No
EMP0103,58,Female,Operations,Operations Executive,9,69151.31,1,3,Yes,23,5,2,1,Yes
EMP0104,35,Male,IT,System Admin,20,56338.96,4,1,Yes,43,3,4,2,No
EMP0105,24,Male,Finance,Financial Analyst,15,145451.35,2,3,No,50,9,0,1,No
EMP0106,22,Female,IT,Software Engineer,13,42007.47,4,3,No,25,2,3,3,Yes
EMP0107,26,Male,IT,IT Support,6,92247.91,1,3,No,57,0,6,3,Yes
EMP0108,47,Male,Sales,Sales Representative,18,101551.04,3,4,Yes,51,6,1,1,Yes
EMP0109,35,Male,HR,Recruiter,16,44701.9,2,4,No,13,4,3,2,Yes
EMP0110,48,Female,Sales,Sales Manager,8,176078.27,2,2,No,24,9,0,1,No
EMP0111,30,Male,IT,IT Support,12,43096.39,4,4,No,11,6,4,1,Yes
EMP0112,36,Male,Operations,Logistics Officer,4,108941.48,1,3,No,52,0,0,4,No
EMP0113,36,Female,Sales,Sales Manager,4,282047.32,4,4,No,51,7,4,1,No
EMP0114,47,Male,Sales,Sales Manager,9,266815.25,1,1,Yes,17,2,3,4,Yes
EMP0115,34,Female,Sales,Sales Representative,20,39604.06,2,2,No,37,6,3,3,No
EMP0116,53,Male,Operations,Operations Executive,9,88460.04,1,2,No,13,2,0,4,No
EMP0117,53,Female,IT,IT Support,6,108119.96,2,4,No,27,2,0,1,Yes
EMP0118,25,Male,IT,Data Analyst,14,179382.3,1,3,No,20,9,6,3,No
EMP0119,51,Female,Finance,Accountant,6,86344.92,3,2,No,33,8,2,4,No
EMP0120,58,Male,Finance,Accountant,14,36775.08,1,1,No,42,1,4,1,Yes
EMP0121,44,Male,IT,Data Analyst,2,93487.64,3,1,No,32,3,2,3,Yes
EMP0122,36,Male,HR,Recruiter,18,34437.81,1,2,No,8,5,1,4,Yes
EMP0123,50,Male,Finance,Finance Manager,9,214369.8,1,3,No,56,2,1,1,No
EMP0124,57,Male,HR,HR Executive,14,42209.53,4,3,Yes,29,9,0,1,No
EMP0125,34,Male,Sales,Sales Representative,2,53404.32,4,4,Yes,40,9,3,2,No
EMP0126,53,Female,Operations,Operations Executive,5,64655.23,2,4,No,19,6,1,2,No
EMP0127,28,Male,IT,Data Analyst,11,193157.93,4,2,No,6,6,1,4,No
EMP0128,43,Male,Sales,Sales Executive,14,84933.85,1,4,No,44,4,2,4,No
EMP0129,49,Female,IT,IT Support,5,105147.64,4,4,No,39,2,2,4,No
EMP0130,23,Female,Sales,Sales Representative,12,93931.64,1,4,Yes,48,1,6,1,Yes
EMP0131,27,Male,Sales,Sales Manager,18,178125.78,3,1,Yes,41,3,6,4,Yes
EMP0132,49,Male,Finance,Accountant,2,96232.84,1,4,No,21,3,1,1,No
EMP0133,49,Male,Sales,Sales Executive,7,54758.9,2,2,Yes,57,7,0,4,No
EMP0134,41,Female,IT,Software Engineer,7,87519.71,3,3,No,22,7,2,1,No
EMP0135,51,Female,IT,IT Support,19,60686.58,2,4,Yes,42,4,1,1,No
EMP0136,32,Male,Sales,Sales Representative,14,119790.5,2,3,Yes,10,5,3,2,No
EMP0137,49,Female,Operations,Operations Manager,3,215887.87,2,4,No,10,7,2,3,No
EMP0138,46,Female,Sales,Sales Representative,18,55121.74,4,2,No,52,0,1,1,No
EMP0139,54,Female,IT,System Admin,20,113760.5,2,1,No,29,4,6,4,No
EMP0140,22,Female,IT,Software Engineer,2,32218.0,3,2,Yes,16,3,4,2,Yes
EMP0141,48,Male,Sales,Sales Manager,12,324172.25,1,1,No,1,3,2,4,Yes
EMP0142,34,Male,Sales,Sales Manager,7,331331.6,2,4,No,17,1,4,4,Yes
EMP0143,24,Male,Finance,Finance Manager,15,359094.64,3,4,No,30,9,2,1,No
EMP0144,27,Male,Operations,Operations Executive,12,117699.54,2,1,No,26,0,2,1,No
EMP0145,29,Male,Sales,Sales Representative,2,117804.17,1,2,Yes,53,5,6,3,No
EMP0146,48,Female,HR,HR Executive,15,35874.91,3,2,No,46,6,5,1,Yes
EMP0147,30,Male,Finance,Finance Manager,8,355459.83,3,1,No,19,4,5,1,No
EMP0148,58,Male,Finance,Accountant,13,88167.89,1,4,No,53,7,4,3,Yes
EMP0149,54,Male,IT,Software Engineer,12,88260.79,3,1,Yes,21,8,0,4,Yes
EMP0150,45,Female,IT,Data Analyst,20,95401.99,1,4,No,17,1,1,3,No
EMP0151,36,Male,IT,Data Analyst,6,158022.46,3,1,No,46,3,0,3,Yes
EMP0152,53,Male,Finance,Accountant,14,118423.43,3,4,Yes,40,8,0,3,No
EMP0153,53,Male,Finance,Financial Analyst,6,189418.23,1,1,Yes,21,4,5,2,No
EMP0154,45,Male,Sales,Sales Manager,5,259782.67,1,3,No,53,2,1,4,No
EMP0155,33,Female,IT,IT Support,1,33595.32,3,4,No,41,5,5,2,No
EMP0156,23,Female,Operations,Operations Executive,8,62606.41,3,2,No,40,2,5,2,No
EMP0157,24,Male,Finance,Accountant,16,104375.13,1,1,No,45,4,6,1,Yes
EMP0158,58,Female,Operations,Logistics Officer,4,93134.92,4,2,No,49,2,5,3,No
EMP0159,38,Female,Finance,Finance Manager,11,264835.91,1,1,No,19,5,3,3,No
EMP0160,23,Female,IT,Data Analyst,0,86612.18,3,2,Yes,7,9,0,2,Yes
EMP0161,23,Male,HR,Recruiter,9,68420.53,3,2,No,17,4,6,1,Yes
EMP0162,49,Male,HR,HR Manager,10,267256.23,3,1,No,1,8,6,1,Yes
EMP0163,44,Male,Sales,Sales Representative,15,113570.0,1,1,Yes,37,2,0,1,Yes
EMP0164,58,Female,IT,Software Engineer,13,87697.75,3,2,No,57,5,6,4,No
EMP0165,53,Male,Finance,Finance Manager,7,227913.23,4,2,No,6,7,0,2,No
EMP0166,54,Male,Sales,Sales Manager,16,281329.57,2,2,No,26,6,3,4,No
EMP0167,22,Male,Finance,Finance Manager,17,166513.83,4,4,No,2,5,2,1,No
EMP0168,40,Female,HR,Recruiter,11,117531.14,1,4,No,59,1,6,1,No
EMP0169,23,Male,Operations,Logistics Officer,16,62405.39,3,3,Yes,32,6,4,1,Yes
EMP0170,47,Female,Sales,Sales Executive,13,73008.06,1,4,No,57,7,4,3,No
EMP0171,53,Female,Sales,Sales Executive,15,61975.56,2,4,No,48,0,3,2,No
EMP0172,27,Male,HR,HR Executive,13,91426.06,1,1,No,54,8,0,3,No
EMP0173,53,Female,Sales,Sales Executive,8,89600.89,3,3,No,5,3,4,4,No
EMP0174,25,Male,Finance,Finance Manager,3,328830.58,2,3,No,37,7,3,3,No
EMP0175,32,Female,Finance,Finance Manager,10,217035.81,2,4,Yes,31,9,5,2,Yes
EMP0176,38,Male,Sales,Sales Executive,5,58410.16,3,1,Yes,12,6,1,3,No
EMP0177,59,Female,IT,Data Analyst,14,95030.15,3,1,No,35,9,4,1,No
EMP0178,45,Female,IT,System Admin,4,88995.9,3,3,Yes,30,6,1,4,Yes
EMP0179,26,Female,IT,Software Engineer,10,33581.74,1,1,Yes,48,1,0,4,Yes
EMP0180,55,Female,Operations,Operations Manager,17,299420.58,4,2,No,6,0,4,1,No
EMP0181,27,Male,Finance,Financial Analyst,12,184363.51,1,4,No,15,3,3,1,Yes
EMP0182,43,Female,HR,HR Executive,10,110174.89,1,2,Yes,15,1,2,1,No
EMP0183,32,Female,Finance,Accountant,13,70413.4,4,3,No,16,7,4,2,Yes
EMP0184,37,Female,IT,Software Engineer,17,71337.33,3,3,No,20,9,4,3,No
EMP0185,54,Male,Operations,Operations Manager,18,169242.3,3,1,No,13,6,4,4,Yes
EMP0186,30,Female,HR,Recruiter,14,90368.85,4,1,No,44,7,4,3,No
EMP0187,27,Female,Finance,Accountant,8,103913.35,4,3,No,42,5,3,1,Yes
EMP0188,37,Female,Operations,Operations Manager,7,211163.76,1,3,Yes,46,0,3,1,Yes
EMP0189,50,Male,Sales,Sales Representative,19,67917.08,2,2,Yes,31,8,2,3,Yes
EMP0190,24,Female,Finance,Financial Analyst,0,180660.72,4,2,No,34,5,3,4,No
EMP0191,41,Male,Sales,Sales Executive,3,108940.84,1,1,No,29,9,3,2,No
EMP0192,57,Female,IT,IT Support,13,51886.2,2,2,No,3,0,0,3,No
EMP0193,40,Male,IT,IT Support,1,79551.36,3,1,No,9,0,6,1,No
EMP0194,47,Female,Operations,Logistics Officer,15,47324.38,3,1,No,11,7,0,1,No
EMP0195,24,Female,Operations,Operations Executive,2,39169.09,1,4,No,11,5,6,2,Yes
EMP0196,40,Male,Finance,Finance Manager,7,377780.13,1,1,Yes,25,7,1,3,Yes
EMP0197,41,Female,Finance,Accountant,5,103845.68,4,2,Yes,22,7,2,2,Yes
EMP0198,53,Male,HR,HR Executive,15,98403.14,3,3,No,42,7,6,2,No
EMP0199,28,Female,Operations,Logistics Officer,15,34388.97,1,3,Yes,58,9,0,4,Yes
EMP0200,54,Female,IT,System Admin,6,105935.59,3,2,Yes,46,6,2,4,Yes
EMP0201,39,Female,IT,IT Support,12,69423.97,3,3,No,9,6,2,1,Yes
EMP0202,22,Female,Sales,Sales Representative,12,60815.56,4,1,No,20,9,4,3,No
EMP0203,32,Female,Finance,Finance Manager,4,286619.09,2,3,No,59,3,5,4,Yes
EMP0204,49,Male,Finance,Finance Manager,19,172838.31,4,2,Yes,21,8,5,1,Yes
EMP0205,46,Male,IT,IT Support,17,98098.19,1,3,Yes,10,1,5,3,Yes
EMP0206,44,Female,Sales,Sales Representative,14,82419.16,4,1,Yes,22,8,2,1,No
EMP0207,52,Female,Finance,Financial Analyst,17,102390.81,4,1,No,29,9,4,4,No
EMP0208,51,Female,Sales,Sales Manager,1,197058.05,3,2,No,9,2,1,1,No
EMP0209,56,Female,Finance,Finance Manager,9,196062.16,4,2,No,5,1,1,3,Yes
EMP0210,28,Male,Operations,Logistics Officer,12,35130.21,1,2,No,40,3,5,3,Yes
EMP0211,37,Female,IT,Data Analyst,17,150535.81,2,4,No,11,4,1,1,No
EMP0212,47,Male,Sales,Sales Manager,14,360087.04,4,4,Yes,1,1,4,3,Yes
EMP0213,23,Male,Finance,Finance Manager,11,154374.55,4,1,No,53,0,5,1,Yes
EMP0214,22,Male,Finance,Financial Analyst,14,85880.56,2,4,No,42,9,6,3,No
EMP0215,33,Male,IT,Software Engineer,12,81549.32,1,4,No,1,4,6,1,No
EMP0216,26,Male,Operations,Operations Manager,17,354873.92,1,3,No,58,8,4,1,No
EMP0217,58,Male,Sales,Sales Executive,14,59406.5,4,4,Yes,54,4,1,1,No
EMP0218,53,Female,IT,Software Engineer,10,61465.3,3,3,No,39,9,5,2,Yes
EMP0219,30,Male,Finance,Financial Analyst,18,151561.58,4,2,No,46,8,6,3,Yes
EMP0220,56,Male,Operations,Operations Manager,2,218553.22,2,3,Yes,5,9,4,4,Yes
EMP0221,40,Male,Sales,Sales Representative,6,32394.75,2,3,Yes,49,5,3,1,Yes
EMP0222,37,Male,Finance,Finance Manager,20,333807.13,2,2,No,22,2,6,2,No
EMP0223,24,Male,HR,HR Manager,13,306412.48,4,2,No,26,3,3,4,No
EMP0224,41,Male,IT,IT Support,13,82268.04,4,1,Yes,53,3,4,1,No
EMP0225,45,Female,Sales,Sales Executive,12,96751.57,1,1,No,6,0,4,4,Yes
EMP0226,54,Female,Operations,Operations Manager,11,318807.71,3,1,Yes,32,2,0,2,No
EMP0227,45,Female,Sales,Sales Representative,8,48529.38,4,1,No,48,2,6,4,No
EMP0228,32,Male,IT,Software Engineer,0,61723.29,1,3,Yes,11,0,0,1,Yes
EMP0229,29,Male,Sales,Sales Executive,18,41349.91,4,3,Yes,10,8,2,4,No
EMP0230,57,Female,Operations,Operations Manager,10,182464.25,1,1,No,47,0,6,4,Yes
EMP0231,59,Male,HR,HR Manager,18,319048.94,1,4,Yes,39,8,5,1,Yes
EMP0232,41,Male,Finance,Financial Analyst,17,183032.01,3,1,No,55,0,2,2,No
EMP0233,56,Male,Sales,Sales Executive,11,116645.93,4,4,Yes,34,1,2,2,No
EMP0234,46,Male,HR,Recruiter,0,86551.24,1,2,No,31,1,1,4,Yes
EMP0235,56,Male,HR,HR Manager,18,196025.33,2,3,Yes,12,5,3,3,Yes
EMP0236,46,Male,Finance,Financial Analyst,19,92678.04,2,3,No,51,6,1,4,No
EMP0237,50,Female,Operations,Logistics Officer,16,103156.59,2,4,No,44,0,5,3,No
EMP0238,39,Male,Sales,Sales Manager,4,294689.12,3,1,Yes,16,2,4,4,No
EMP0239,39,Female,HR,HR Manager,2,304571.26,1,3,No,38,1,0,2,Yes
EMP0240,23,Female,Sales,Sales Representative,1,100331.59,3,4,Yes,3,7,5,4,Yes
EMP0241,56,Female,IT,IT Support,2,93294.95,4,2,No,2,8,4,4,No
EMP0242,37,Female,Sales,Sales Representative,7,105101.24,4,2,Yes,52,1,5,3,Yes
EMP0243,57,Female,IT,System Admin,15,35059.25,1,3,No,5,1,4,2,Yes
EMP0244,54,Male,IT,IT Support,5,97276.86,2,1,No,11,9,6,3,Yes
EMP0245,25,Male,HR,HR Executive,12,106576.75,1,4,No,58,8,0,4,Yes
EMP0246,54,Male,IT,System Admin,15,55752.15,1,3,No,25,3,4,1,No
EMP0247,35,Female,Finance,Accountant,15,87640.25,1,2,No,35,4,2,4,No
EMP0248,42,Female,IT,Software Engineer,2,58274.59,3,1,No,35,8,5,4,Yes
EMP0249,41,Male,Sales,Sales Executive,12,116217.4,4,4,No,22,5,0,3,No
EMP0250,29,Female,Finance,Finance Manager,13,158355.89,1,3,No,37,9,4,1,Yes
EMP0251,28,Male,Sales,Sales Manager,7,294948.21,1,4,Yes,22,8,2,1,Yes
EMP0252,24,Female,IT,Data Analyst,11,99980.43,1,1,No,55,8,2,3,Yes
EMP0253,38,Male,HR,HR Executive,20,94099.82,3,1,No,11,6,6,2,No
EMP0254,54,Male,IT,System Admin,7,45830.13,3,2,No,32,9,3,1,No
EMP0255,33,Male,Sales,Sales Manager,20,208845.82,3,1,No,35,8,2,1,No
EMP0256,43,Male,IT,Software Engineer,8,74493.37,1,3,Yes,31,4,1,3,Yes
EMP0257,43,Male,Operations,Logistics Officer,0,112335.15,2,4,No,45,4,0,2,No
EMP0258,51,Male,HR,Recruiter,5,49054.29,2,1,Yes,53,7,0,2,No
EMP0259,59,Female,HR,Recruiter,18,42981.6,2,1,Yes,8,9,0,4,Yes
EMP0260,59,Male,HR,HR Manager,10,339744.21,4,3,Yes,20,3,4,4,No
EMP0261,29,Male,Sales,Sales Executive,10,75055.76,1,4,No,42,8,5,3,No
EMP0262,48,Female,IT,System Admin,12,112060.66,2,4,Yes,34,6,4,2,No
EMP0263,48,Female,Finance,Finance Manager,10,186653.64,2,2,Yes,4,6,1,3,No
EMP0264,55,Male,Sales,Sales Manager,17,311481.97,2,2,No,18,2,5,4,No
EMP0265,42,Male,Sales,Sales Executive,14,50959.12,1,4,Yes,51,3,6,3,No
EMP0266,51,Male,Sales,Sales Executive,0,44108.44,2,3,Yes,4,6,2,3,Yes
EMP0267,54,Male,IT,IT Support,20,91508.65,2,3,Yes,20,4,4,1,No
EMP0268,49,Female,Operations,Operations Manager,6,298421.15,1,2,No,58,2,5,1,No
EMP0269,54,Male,Sales,Sales Representative,12,97934.47,4,1,No,9,0,2,1,No
EMP0270,26,Male,IT,System Admin,11,57851.63,3,3,Yes,16,6,5,4,No
EMP0271,40,Female,Sales,Sales Executive,17,70317.45,2,1,No,26,5,2,3,Yes
EMP0272,25,Male,Operations,Operations Executive,18,66492.45,3,3,No,38,9,5,1,No
EMP0273,56,Female,Sales,Sales Executive,14,118568.05,4,4,Yes,25,6,4,1,Yes
EMP0274,38,Male,IT,Data Analyst,7,115069.87,4,2,Yes,4,1,4,1,Yes
EMP0275,49,Female,Finance,Financial Analyst,18,115378.07,2,1,No,41,3,1,4,Yes
EMP0276,51,Male,Finance,Accountant,9,61909.34,1,1,No,59,1,6,4,No
EMP0277,50,Female,IT,Software Engineer,6,80813.47,4,4,Yes,45,7,6,3,Yes
EMP0278,27,Female,IT,System Admin,17,52709.05,3,3,Yes,41,6,3,3,No
EMP0279,56,Male,IT,Software Engineer,15,112376.09,3,1,No,38,0,0,3,No
EMP0280,58,Female,Sales,Sales Executive,19,53911.7,3,3,Yes,53,1,4,1,Yes
EMP0281,45,Female,Sales,Sales Representative,5,110623.42,3,4,No,19,1,4,2,No
EMP0282,50,Female,IT,Software Engineer,8,39312.76,4,2,No,14,3,2,4,No
EMP0283,52,Female,Sales,Sales Executive,20,89090.64,2,1,No,21,2,3,1,No
EMP0284,56,Female,Sales,Sales Executive,12,111628.7,2,3,Yes,15,0,6,1,No
EMP0285,54,Male,HR,HR Manager,20,192187.36,3,1,No,3,1,4,3,No
EMP0286,42,Male,Operations,Operations Executive,7,117149.43,2,3,Yes,37,8,5,3,No
EMP0287,53,Female,HR,HR Executive,15,70759.5,3,3,No,53,0,6,1,No
EMP0288,44,Male,Sales,Sales Manager,12,386428.78,3,3,No,50,8,3,4,No
EMP0289,54,Female,Sales,Sales Executive,12,90913.8,1,4,No,46,6,0,4,No
EMP0290,24,Female,Operations,Operations Executive,16,57142.82,4,2,No,16,1,5,1,No
EMP0291,39,Male,Sales,Sales Executive,19,46947.23,4,1,No,14,1,2,2,Yes
EMP0292,46,Male,Sales,Sales Executive,4,57336.15,3,2,No,9,4,1,2,No
EMP0293,52,Female,HR,HR Executive,20,38371.57,4,3,No,47,4,5,4,No
EMP0294,24,Male,HR,HR Manager,16,185966.99,2,3,No,7,3,6,3,No
EMP0295,45,Female,HR,HR Executive,8,39419.44,3,2,No,14,9,0,2,Yes
EMP0296,53,Male,Sales,Sales Manager,1,255735.89,1,2,No,6,9,5,2,Yes
EMP0297,43,Female,Sales,Sales Manager,17,348894.59,2,1,No,21,2,3,3,Yes
EMP0298,44,Male,Operations,Operations Executive,8,42724.52,1,3,Yes,15,3,3,2,Yes
EMP0299,23,Female,Sales,Sales Manager,5,182580.11,1,2,No,52,9,0,1,Yes
EMP0300,48,Male,HR,Recruiter,10,87908.61,4,4,No,8,3,6,2,No
EMP0301,23,Female,Finance,Finance Manager,5,199295.75,4,3,No,34,1,3,3,Yes
